iso_code,continent,country,date,total_cases,total_deaths,population,death_rate_per_million,cases_per_million,dr_permill
ABW,North America,Aruba,12/8/2021,,,"107195","0","0",
AFG,Asia,Afghanistan,12/8/2021,"157542","7317","39835428","183.6807176","3954.821321",
AGO,Africa,Angola,12/8/2021,"65332","1735","33933611","51.12924764","1925.288765",
AIA,North America,Anguilla,12/8/2021,,,"15125","0","0",
ALB,Europe,Albania,12/8/2021,"202641","3126","2872934","1088.086256","70534.5128",
AND,Europe,Andorra,12/8/2021,"18815","133","77354","1719.3681","243232.412",
ARE,Asia,United Arab Emirates,12/8/2021,"742507","2149","9991083","215.0917974","74316.96844",
ARG,South America,Argentina,12/8/2021,"5348123","116708","45605823","2559.05918","117268.4243",
ARM,Asia,Armenia,12/8/2021,"341468","7728","2968128","2603.661298","115044.9037",
ATG,North America,Antigua and Barbuda,12/8/2021,"4151","117","98728","1185.074143","42044.80998",
AUS,Oceania,Australia,12/8/2021,"223914","2082","25788217","80.73454632","8682.802692",
AUT,Europe,Austria,12/8/2021,"1212999","12979","9043072","1435.24236","134135.7229",
AZE,Asia,Azerbaijan,12/8/2021,"599713","8019","10223344","784.381314","58661.13866",
BDI,Africa,Burundi,12/8/2021,"20523","38","12255429","3.100666651","1674.604781",
BEL,Europe,Belgium,12/8/2021,"1898498","27416","11632334","2356.87868","163208.6905",
BEN,Africa,Benin,12/8/2021,"24863","161","12451031","12.9306561","1996.86275",
BFA,Africa,Burkina Faso,12/8/2021,"16334","290","21497097","13.49019358","759.8235241",
BGD,Asia,Bangladesh,12/8/2021,"1578288","28016","166303494","168.4630871","9490.407941",
BGR,Europe,Bulgaria,12/8/2021,"709537","29279","6896655","4245.391425","102881.3244",
BHR,Asia,Bahrain,12/8/2021,"277935","1394","1748295","797.3482736","158974.887",
BHS,North America,Bahamas,12/8/2021,"22846","705","396914","1776.203409","57559.06821",
BIH,Europe,Bosnia and Herzegovina,12/8/2021,"279820","12854","3263459","3938.765586","85743.37842",
BLR,Europe,Belarus,12/8/2021,"667893","5210","9442867","551.7392123","70729.89591",
BLZ,North America,Belize,12/8/2021,"30930","585","404915","1444.747663","76386.40208",
BOL,South America,Bolivia,12/8/2021,"546155","19264","11832936","1627.998326","46155.49345",
BRA,South America,Brazil,12/8/2021,"22167781","616251","213993441","2879.765834","103590.9367",
BRB,North America,Barbados,12/8/2021,"26433","244","287708","848.0820832","91874.40043",
BRN,Asia,Brunei,12/8/2021,"15244","98","441532","221.9544676","34525.24392",
BTN,Asia,Bhutan,12/8/2021,"2642","3","779900","3.846647006","3387.613797",
BWA,Africa,Botswana,12/8/2021,"195552","2420","2397240","1009.494252","81573.80988",
CAF,Africa,Central African Republic,12/8/2021,"11742","101","4919987","20.52850953","2386.591672",
CAN,North America,Canada,12/8/2021,"1827339","29905","38067913","785.5697264","48002.07986",
CHE,Europe,Switzerland,12/8/2021,"1090928","11684","8715494","1340.601003","125171.1033",
CHL,South America,Chile,12/8/2021,"1776599","38541","19212362","2006.052145","92471.65965",
CHN,Asia,China,12/8/2021,"99531","4636","1444216102","3.210045916","68.91697154",
CIV,Africa,Cote d'Ivoire,12/8/2021,"61857","706","27053629","26.0963141","2286.458501",
CMR,Africa,Cameroon,12/8/2021,"107549","1823","27224262","66.96232941","3950.48358",
COD,Africa,Democratic Republic of Congo,12/8/2021,"59175","1113","92377986","12.04832502","640.5746928",
COG,Africa,Congo,12/8/2021,"19066","359","5657017","63.46100781","3370.327507",
COL,South America,Colombia,12/8/2021,"5086381","128874","51265841","2513.837625","99215.79166",
COM,Africa,Comoros,12/8/2021,"4554","151","888456","169.9577694","5125.746238",
CPV,Africa,Cape Verde,12/8/2021,"38470","351","561901","624.665199","68464.01768",
CRI,North America,Costa Rica,12/8/2021,"567706","7324","5139053","1425.165298","110468.9911",
CUB,North America,Cuba,12/8/2021,"963347","8311","11317498","734.3495886","85120.13874",
CUW,North America,Curacao,12/8/2021,,,"164796","0","0",
CYP,Europe,Cyprus,12/8/2021,"138733","605","896005","675.2194463","154835.0735",
CZE,Europe,Czechia,12/8/2021,"2282212","34034","10724553","3173.465598","212802.5289",
DEU,Europe,Germany,12/8/2021,"6339828","104201","83900471","1241.959655","75563.67592",
DJI,Africa,Djibouti,12/8/2021,"13509","188","1002197","187.5878695","13479.38579",
DMA,North America,Dominica,12/8/2021,"6176","42","72172","581.9431358","85573.35255",
DNK,Europe,Denmark,12/8/2021,"535090","2985","5813302","513.4775382","92045.79428",
DOM,North America,Dominican Republic,12/8/2021,"409232","4212","10953714","384.5271111","37360.11366",
DZA,Africa,Algeria,12/8/2021,"212047","6122","44616626","137.2134235","4752.645348",
ECU,South America,Ecuador,12/8/2021,"530126","33494","17888474","1872.378829","29635.05998",
EGY,Africa,Egypt,12/8/2021,"365831","20877","104258327","200.2429983","3508.88999",
ERI,Africa,Eritrea,12/8/2021,"7533","62","3601462","17.21523093","2091.650557",
ESP,Europe,Spain,12/8/2021,"5246766","88237","46745211","1887.615824","112241.7867",
EST,Europe,Estonia,12/8/2021,"226304","1836","1325188","1385.463798","170771.2415",
ETH,Africa,Ethiopia,12/8/2021,"372588","6816","117876226","57.82336465","3160.840932",
FIN,Europe,Finland,12/8/2021,"197476","1395","5548361","251.4256012","35591.77206",
FJI,Oceania,Fiji,12/8/2021,"52567","697","902899","771.9578823","58220.2439",
FRA,Europe,France,12/8/2021,"8153025","121017","67564251","1791.139518","120670.6931",
FSM,Oceania,Micronesia (country),12/8/2021,"1",,"116255","0","8.601780569",
GAB,Africa,Gabon,12/8/2021,"37551","281","2278829","123.3089451","16478.19999",
GBR,Europe,United Kingdom,12/8/2021,"10671538","146444","68207114","2147.048767","156457.844",
GEO,Asia,Georgia,12/8/2021,"875806","12519","3979773","3145.6568","220064.3102",
GGY,Europe,Guernsey,12/8/2021,,,"63385","0","0",
GHA,Africa,Ghana,12/8/2021,"131246","1228","31732128","38.6989489","4136.060462",
GIB,Europe,Gibraltar,12/8/2021,,,"33691","0","0",
GIN,Africa,Guinea,12/8/2021,"30798","388","13497237","28.74662422","2281.800342",
GMB,Africa,Gambia,12/8/2021,"9998","342","2486937","137.518562","4020.206382",
GNB,Africa,Guinea-Bissau,12/8/2021,"6445","149","2015490","73.92743204","3197.733554",
GNQ,Africa,Equatorial Guinea,12/8/2021,"13599","175","1449891","120.6987284","9379.325756",
GRC,Europe,Greece,12/8/2021,"984301","18901","10370747","1822.530238","94911.29231",
GRD,North America,Grenada,12/8/2021,"5910","200","113015","1769.676592","52293.94328",
GRL,North America,Greenland,12/8/2021,,,"56868","0","0",
GTM,North America,Guatemala,12/8/2021,"620853","16008","18249868","877.1570293","34019.58853",
GUY,South America,Guyana,12/8/2021,"38333","1009","790329","1276.683508","48502.58563",
HKG,Asia,Hong Kong,12/8/2021,"12471","213","7552800","28.20146171","1651.175723",
HND,North America,Honduras,12/8/2021,"378251","10412","10062994","1034.682123","37588.31616",
HRV,Europe,Croatia,12/8/2021,"639778","11383","4081657","2788.818365","156744.675",
HTI,North America,Haiti,12/8/2021,"25691","754","11541683","65.32842741","2225.931868",
HUN,Europe,Hungary,12/8/2021,"1168728","36048","9634162","3741.685058","121310.8104",
IDN,Asia,Indonesia,12/8/2021,"4258340","143909","276361788","520.726838","15408.57016",
IMN,Europe,Isle of Man,12/8/2021,,,"85410","0","0",
IND,Asia,India,12/8/2021,"34666241","474111","1393409033","340.2525667","24878.72561",
IRL,Europe,Ireland,12/8/2021,"606852","5788","4982904","1161.571646","121786.8135",
IRN,Asia,Iran,12/8/2021,"6144644","130446","85028760","1534.139743","72265.47817",
IRQ,Asia,Iraq,12/8/2021,"2086192","23931","41179351","581.1407761","50661.11897",
ISL,Europe,Iceland,12/8/2021,"18896","35","343360","101.9338304","55032.61883",
ISR,Asia,Israel,12/8/2021,"1348229","8210","9291000","883.6508449","145111.2905",
ITA,Europe,Italy,12/8/2021,"5152264","134472","60367471","2227.557288","85348.34928",
JAM,North America,Jamaica,12/8/2021,"91578","2415","2973462","812.1845848","30798.44303",
JOR,Asia,Jordan,12/8/2021,"993339","11850","10269022","1153.956044","96731.60696",
JPN,Asia,Japan,12/8/2021,"1727504","18366","126050796","145.7031656","13704.8242",
KAZ,Asia,Kazakhstan,12/8/2021,"1060923","17972","18994958","946.1458141","55852.87422",
KEN,Africa,Kenya,12/8/2021,"255652","5337","54985702","97.06159612","4649.426864",
KGZ,Asia,Kyrgyzstan,12/8/2021,"183744","2762","6628347","416.6951428","27720.93857",
KHM,Asia,Cambodia,12/8/2021,"120300","2971","16946446","175.3169957","7098.833584",
KIR,Oceania,Kiribati,12/8/2021,"2",,"121388","0","16.47609319",
KNA,North America,Saint Kitts and Nevis,12/8/2021,"2791","28","53546","522.9148769","52123.40791",
KOR,Asia,South Korea,12/8/2021,"496584","4077","51305184","79.465654","9679.021909",
KWT,Asia,Kuwait,12/8/2021,"413588","2466","4328553","569.7053958","95548.78963",
LAO,Asia,Laos,12/8/2021,"83291","219","7379358","29.67737844","11287.02524",
LBN,Asia,Lebanon,12/8/2021,"683326","8804","6769151","1300.606236","100947.0759",
LBR,Africa,Liberia,12/8/2021,"5832","287","5180208","55.40318072","1125.823519",
LBY,Africa,Libya,12/8/2021,"376378","5518","6958538","792.9826639","54088.66058",
LCA,North America,Saint Lucia,12/8/2021,"13067","283","184401","1534.698836","70861.87168",
LIE,Europe,Liechtenstein,12/8/2021,"5162","64","38254","1673.027657","134940.137",
LKA,Asia,Sri Lanka,12/8/2021,"569928","14533","21497306","676.0381975","26511.60104",
LSO,Africa,Lesotho,12/8/2021,"21838","663","2159067","307.0770847","10114.55411",
LTU,Europe,Lithuania,12/8/2021,"484537","6901","2689862","2565.559125","180134.5199",
LUX,Europe,Luxembourg,12/8/2021,"92574","889","634814","1400.410199","145828.5419",
LVA,Europe,Latvia,12/8/2021,"259215","4325","1866934","2316.632511","138845.2939",
MAR,Africa,Morocco,12/8/2021,"950946","14792","37344787","396.0927666","25463.95565",
MCO,Europe,Monaco,12/8/2021,"3942","36","39520","910.9311741","99746.96356",
MDA,Europe,Moldova,12/8/2021,"367948","9293","4024025","2309.379291","91437.8017",
MDG,Africa,Madagascar,12/8/2021,"44800","972","28427333","34.19244429","1575.94805",
MDV,Asia,Maldives,12/8/2021,"92629","255","543620","469.0776645","170392.9215",
MEX,North America,Mexico,12/8/2021,"3905319","295602","130262220","2269.284218","29980.44253",
MHL,Oceania,Marshall Islands,12/8/2021,"4",,"59618","0","67.09383072",
MKD,Europe,North Macedonia,12/8/2021,"218194","7688","2082661","3691.431299","104766.9304",
MLI,Africa,Mali,12/8/2021,"18253","621","20855724","29.77599819","875.2033734",
MLT,Europe,Malta,12/8/2021,"40188","468","516100","906.8010076","77868.63011",
MMR,Asia,Myanmar,12/8/2021,"525403","19157","54806014","349.5419317","9586.593909",
MNE,Europe,Montenegro,12/8/2021,"159034","2339","628051","3724.219848","253218.2896",
MNG,Asia,Mongolia,12/8/2021,"384288","2023","3329282","607.6385239","115426.6896",
MOZ,Africa,Mozambique,12/8/2021,"152326","1941","32163045","60.34876362","4736.056552",
MRT,Africa,Mauritania,12/8/2021,"39669","844","4775110","176.749855","8307.452603",
MUS,Africa,Mauritius,12/8/2021,"22156","240","1273428","188.4676637","17398.70648",
MWI,Africa,Malawi,12/8/2021,"62053","2307","19647681","117.4184373","3158.286212",
MYS,Asia,Malaysia,12/8/2021,"2673019","30746","32776195","938.0588564","81553.67028",
NAM,Africa,Namibia,12/8/2021,"130051","3574","2587344","1381.339319","50264.28647",
NER,Africa,Niger,12/8/2021,"7119","265","25130810","10.54482526","283.2777774",
NGA,Africa,Nigeria,12/8/2021,"215164","2980","211400704","14.09645258","1017.801719",
NIC,North America,Nicaragua,12/8/2021,"17328","214","6702379","31.92896134","2585.350664",
NLD,Europe,Netherlands,12/8/2021,"2850604","20295","17173094","1181.790538","165992.4531",
NOR,Europe,Norway,12/8/2021,"300013","1134","5465629","207.4784073","54890.84605",
NPL,Asia,Nepal,12/8/2021,"823357","11547","29674920","389.116466","27745.88777",
NZL,Oceania,New Zealand,12/8/2021,"12623","44","5122600","8.589388201","2464.178347",
OMN,Asia,Oman,12/8/2021,"304654","4113","5223376","787.4217747","58325.11387",
PAK,Asia,Pakistan,12/8/2021,"1288053","28803","225199929","127.8996851","5719.597718",
PAN,North America,Panama,12/8/2021,"479563","7379","4381583","1684.094538","109449.7126",
PER,South America,Peru,12/8/2021,"2246633","201450","33359415","6038.774961","67346.29489",
PHL,Asia,Philippines,12/8/2021,"2835593","49761","111046910","448.1079212","25535.09143",
PLW,Oceania,Palau,12/8/2021,"8",,"18174","0","440.1892814",
PNG,Oceania,Papua New Guinea,12/8/2021,"35702","573","9119005","62.83580281","3915.120125",
POL,Europe,Poland,12/8/2021,"3732589","86796","37797000","2296.372728","98753.57833",
PRT,Europe,Portugal,12/8/2021,"1177706","18587","10167923","1828.003615","115825.6214",
PRY,South America,Paraguay,12/8/2021,"463479","16484","7219641","2283.216021","64196.95938",
PSE,Asia,Palestine,12/8/2021,"462958","4823","5222756","923.4588022","88642.47152",
QAT,Asia,Qatar,12/8/2021,"244708","611","2930524","208.495136","83503.15507",
ROU,Europe,Romania,12/8/2021,"1789539","57360","19127772","2998.781039","93557.10639",
RUS,Europe,Russia,12/8/2021,"9722639","279280","145912022","1914.030086","66633.57047",
RWA,Africa,Rwanda,12/8/2021,"100464","1344","13276517","101.2313696","7567.044881",
SAU,Asia,Saudi Arabia,12/8/2021,"550043","8849","35340680","250.3913337","15564.01858",
SDN,Africa,Sudan,12/8/2021,"44406","3201","44909351","71.27691514","988.7918443",
SEN,Africa,Senegal,12/8/2021,"74043","1886","17196308","109.6747046","4305.749816",
SGP,Asia,Singapore,12/8/2021,"271297","774","5453600","141.9246003","49746.40604",
SLB,Oceania,Solomon Islands,12/8/2021,"20",,"703995","0","28.40929268",
SLE,Africa,Sierra Leone,12/8/2021,"6405","121","8141343","14.86241275","786.7252369",
SLV,North America,El Salvador,12/8/2021,"119803","3790","6518500","581.4221063","18378.92153",
SMR,Europe,San Marino,12/8/2021,"6308","94","34010","2763.892973","185474.8603",
SOM,Africa,Somalia,12/8/2021,"23051","1331","16359500","81.35945475","1409.028393",
SRB,Europe,Serbia,12/8/2021,"1268787","12036","6871547","1751.570643","184643.5744",
SSD,Africa,South Sudan,12/8/2021,"12842","133","11381377","11.68575648","1128.334471",
STP,Africa,Sao Tome and Principe,12/8/2021,"3733","57","223364","255.1888397","16712.6305",
SUR,South America,Suriname,12/8/2021,"51083","1175","591798","1985.474773","86318.30456",
SVK,Europe,Slovakia,12/8/2021,"1255086","15095","5460726","2764.284456","229838.6698",
SVN,Europe,Slovenia,12/8/2021,"434679","5354","2078723","2575.619743","209108.6691",
SWE,Europe,Sweden,12/8/2021,"1222892","15184","10160159","1494.464801","120361.5022",
SWZ,Africa,Eswatini,12/8/2021,"49253","1248","1172369","1064.511259","42011.51685",
SYC,Africa,Seychelles,12/8/2021,"23750","127","98910","1283.995552","240117.2783",
SYR,Asia,Syria,12/8/2021,"48901","2793","18275704","152.8258501","2675.738237",
TCD,Africa,Chad,12/8/2021,"5703","181","16914985","10.70057112","337.1566691",
TGO,Africa,Togo,12/8/2021,"26350","243","8478242","28.66160225","3107.955635",
THA,Asia,Thailand,12/8/2021,"2156587","21084","69950844","301.4116599","30830.03545",
TJK,Asia,Tajikistan,12/8/2021,"17493","125","9749625","12.82100594","1794.222855",
TLS,Asia,Timor,12/8/2021,"19829","122","1343875","90.78225281","14755.09255",
TON,Oceania,Tonga,12/8/2021,"1",,"106759","0","9.366891784",
TTO,North America,Trinidad and Tobago,12/8/2021,"77482","2320","1403374","1653.158745","55211.22666",
TUN,Africa,Tunisia,12/8/2021,"718866","25413","11935764","2129.147326","60227.89995",
TUR,Asia,Turkey,12/8/2021,"8966681","78407","85042736","921.9717484","105437.3533",
TWN,Asia,Taiwan,12/8/2021,"16688","848","23855008","35.5480912","699.5596061",
TZA,Africa,Tanzania,12/8/2021,"26309","734","61498438","11.93526249","427.7994833",
UGA,Africa,Uganda,12/8/2021,"127822","3261","47123533","69.20109322","2712.487623",
UKR,Europe,Ukraine,12/8/2021,"3692939","94979","43466822","2185.091885","84959.94945",
URY,South America,Uruguay,12/8/2021,"401640","6138","3485152","1761.185739","115243.1802",
USA,North America,United States,12/8/2021,"49543526","793230","332915074","2382.679734","148817.3107",
UZB,Asia,Uzbekistan,12/8/2021,"194904","1425","33935765","41.991097","5743.321242",
VAT,Europe,Vatican,12/8/2021,"27",,"812","0","33251.23153",
VCT,North America,Saint Vincent and the Grenadines,12/8/2021,"5645","76","111269","683.0294152","50732.90854",
VEN,South America,Venezuela,12/8/2021,"435825","5208","28704947","181.4321413","15182.923",
VNM,Asia,Vietnam,12/8/2021,"1352122","26930","98168829","274.3233293","13773.43515",
VUT,Oceania,Vanuatu,12/8/2021,"6","1","314464","3.180014246","19.08008548",
WSM,Oceania,Samoa,12/8/2021,"3",,"200144","0","14.98920777",
YEM,Asia,Yemen,12/8/2021,"10047","1956","30490639","64.15083659","329.5109689",
ZAF,Africa,South Africa,12/8/2021,"3071064","90038","60041996","1499.583725","51148.59939",
ZMB,Africa,Zambia,12/8/2021,"210436","3668","18920657","193.8621899","11122.02393",
ZWE,Africa,Zimbabwe,12/8/2021,"150628","4720","15092171","312.7449325","9980.538917",
